,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),area
82,3,True,True,True,Saadat Abad,10200000000.0,340000.0,151.0
83,1,True,False,True,Shahran,1760000000.0,58666.67,42.0
84,3,True,True,False,Baghestan,1500000000.0,50000.0,300.0
85,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33,110.0
86,2,False,False,False,Shahrake Qods,620000000.0,20666.67,100.0
87,1,False,False,False,Shahryar,580000000.0,19333.33,140.0
88,2,True,True,True,Northern Janatabad,3050000000.0,101666.67,70.0
89,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67,60.0
90,2,True,True,True,North Program Organization,2600000000.0,86666.67,76.0
91,3,True,True,True,Daryan No,5990000000.0,199666.67,148.0
92,2,True,True,True,North Program Organization,2300000000.0,76666.67,75.0
93,1,True,True,False,Pirouzi,1300000000.0,43333.33,40.0
94,2,True,True,True,Southern Program Organization,2270000000.0,75666.67,65.0
95,3,True,True,True,Rudhen,4000000000.0,133333.33,140.0
96,2,True,True,True,West Pars,4000000000.0,133333.33,110.0
97,2,True,False,True,Afsarieh,1650000000.0,55000.0,70.0
98,3,True,True,True,Marzdaran,6700000000.0,223333.33,128.0
99,2,True,True,True,Parand,580000000.0,19333.33,94.0
100,1,True,True,True,Punak,2300000000.0,76666.67,67.0
101,1,True,True,True,Shahrake Qods,650000000.0,21666.67,75.0
102,2,True,True,True,Dorous,16900000000.0,563333.33,130.0
103,0,False,False,False,Shahrake Qods,248000000.0,8266.67,40.0
104,2,True,True,True,Pardis,510000000.0,17000.0,97.0
105,2,True,True,True,Shahran,3850000000.0,128333.33,110.0
106,3,True,True,True,Sadeghieh,6000000000.0,200000.0,150.0
107,2,False,False,False,Chahardangeh,780000000.0,26000.0,75.0
108,3,True,True,True,ShahrAra,7200000000.0,240000.0,137.0
109,2,True,True,True,Parand,410000000.0,13666.67,85.0
110,2,False,True,False,Pakdasht,430000000.0,14333.33,68.0
111,2,False,True,False,Baqershahr,800000000.0,26666.67,78.0
112,2,True,True,True,Parand,545000000.0,18166.67,85.0
113,2,True,True,False,Parand,1280000000.0,42666.67,100.0
114,2,True,True,True,Punak,2800000000.0,93333.33,71.0
115,3,True,True,True,Gisha,11200000000.0,373333.33,140.0
116,3,True,True,False,Parand,750000000.0,25000.0,136.0
117,1,False,False,False,Jeyhoon,850000000.0,28333.33,48.0
118,2,True,True,True,Lavizan,3300000000.0,110000.0,100.0
119,2,True,False,True,Shams Abad,3280000000.0,109333.33,82.0
120,3,True,True,True,Fatemi,4800000000.0,160000.0,120.0
121,3,True,True,True,Gisha,7300000000.0,243333.33,139.0
122,3,True,True,True,Keshavarz Boulevard,3950000000.0,131666.67,110.0
123,2,False,False,True,Parand,370000000.0,12333.33,78.0
124,2,False,False,False,Baghestan,750000000.0,25000.0,79.0
125,2,True,True,True,Salsabil,1725000000.0,57500.0,66.0
126,2,True,True,True,Kahrizak,780000000.0,26000.0,78.0
127,2,True,True,True,Shahryar,1419000000.0,47300.0,85.0
128,2,True,True,False,Qarchak,1200000000.0,40000.0,100.0
129,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0,80.0
130,1,True,True,False,Salsabil,1050000000.0,35000.0,44.0
131,2,True,True,False,Shahryar,1200000000.0,40000.0,120.0
132,1,False,True,False,Shahrake Qods,340000000.0,11333.33,50.0
133,3,True,True,False,Ostad Moein,3300000000.0,110000.0,121.0
134,2,True,True,True,Azarbaijan,2800000000.0,93333.33,80.0
135,2,False,True,True,Bahar,1200000000.0,40000.0,70.0
136,1,False,False,False,Qarchak,3600000.0,120.0,160.0
137,0,False,False,False,Pakdasht,165000000.0,5500.0,40.0
138,2,True,True,True,Railway,2860000000.0,95333.33,88.0
139,3,True,True,True,Persian Gulf Martyrs Lake,3810000000.0,127000.0,141.0
140,3,True,True,True,Persian Gulf Martyrs Lake,1790000000.0,59666.67,140.0
141,2,True,True,True,Persian Gulf Martyrs Lake,1530000000.0,51000.0,120.0
142,2,False,True,False,Beryanak,1000000000.0,33333.33,66.0
143,2,True,True,True,Punak,3500000000.0,116666.67,70.0
144,2,True,False,True,Heshmatieh,3000000000.0,100000.0,75.0
145,2,False,True,True,Elm-o-Sanat,1800000000.0,60000.0,70.0
146,3,True,True,True,Saadat Abad,20000000000.0,666666.67,150.0
147,2,True,True,True,Golestan,950000000.0,31666.67,95.0
148,2,True,True,True,Southern Janatabad,6000000000.0,200000.0,127.0
149,3,True,True,True,Shahr-e-Ziba,3700000000.0,123333.33,123.0
150,2,True,True,True,Southern Janatabad,2000000000.0,66666.67,63.0
151,2,True,True,True,Punak,3050000000.0,101666.67,90.0
152,2,True,True,True,Pardis,605000000.0,20166.67,105.0
153,3,True,True,True,Pasdaran,9900000000.0,330000.0,180.0
154,3,True,False,True,Pirouzi,3700000000.0,123333.33,120.0
155,2,True,True,True,Feiz Garden,2500000000.0,83333.33,65.0
156,3,True,True,True,Farmanieh,10480000000.0,349333.33,158.0
157,3,True,True,True,Chardivari,7632000000.0,254400.0,144.0
158,3,True,True,True,Punak,7632000000.0,254400.0,144.0
159,3,True,True,True,Gheitarieh,12300000000.0,410000.0,130.0
160,3,True,True,True,Farmanieh,26950000000.0,898333.33,245.0
161,3,True,True,True,Kamranieh,24300000000.0,810000.0,190.0
162,2,True,True,True,Central Janatabad,3000000000.0,100000.0,63.0
163,2,True,True,True,East Ferdows Boulevard,2100000000.0,70000.0,75.0
164,2,True,False,True,Gholhak,4700000000.0,156666.67,88.0
165,2,True,True,True,Pasdaran,9180000000.0,306000.0,108.0
166,2,True,True,True,Islamshahr,1579500000.0,52650.0,117.0
167,3,True,True,True,Pasdaran,12000000000.0,400000.0,200.0
168,1,True,True,False,Pirouzi,1750000000.0,58333.33,65.0
169,2,True,True,True,Central Janatabad,3780000000.0,126000.0,90.0
170,2,True,True,True,Heravi,8100000000.0,270000.0,125.0
171,3,True,True,True,Heravi,9100000000.0,303333.33,140.0
172,2,False,True,True,Hashemi,1550000000.0,51666.67,71.0
173,2,False,True,True,Jeyhoon,1640000000.0,54666.67,71.0
174,4,True,True,True,Gheitarieh,20000000000.0,666666.67,236.0
175,2,True,True,True,Central Janatabad,2750000000.0,91666.67,67.0
176,1,True,True,True,Punak,1750000000.0,58333.33,60.0
177,3,True,True,True,Heravi,15400000000.0,513333.33,220.0
178,1,True,True,False,Andisheh,350000000.0,11666.67,44.0
179,1,True,True,True,Heravi,4115000000.0,137166.67,68.0
180,2,True,True,True,Pasdaran,8000000000.0,266666.67,100.0
181,2,True,True,True,Pardis,580000000.0,19333.33,86.0
182,2,True,True,True,Pardis,560000000.0,18666.67,84.0
183,2,True,True,True,Heravi,4800000000.0,160000.0,94.0
184,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67,55.0
185,2,True,True,True,Saadat Abad,7500000000.0,250000.0,113.0
186,2,True,True,True,Islamshahr,630000000.0,21000.0,71.0
187,2,True,True,False,Dehkade Olampic,2000000000.0,66666.67,70.0
188,3,True,True,True,Golestan,2400000000.0,80000.0,200.0
189,2,True,True,True,Golestan,1100000000.0,36666.67,106.0
190,4,True,True,True,Saadat Abad,24000000000.0,800000.0,320.0
191,2,True,True,True,West Pars,3820000000.0,127333.33,114.0
192,2,True,True,True,Punak,6000000000.0,200000.0,100.0
193,2,True,True,True,Saadat Abad,5800000000.0,193333.33,122.0
194,2,True,True,False,Damavand,3500000000.0,116666.67,200.0
195,3,True,True,True,Saadat Abad,12300000000.0,410000.0,154.0
196,3,True,True,True,Pasdaran,15750000000.0,525000.0,210.0
197,3,True,True,True,East Ferdows Boulevard,11000000000.0,366666.67,200.0
198,1,True,True,True,Southern Janatabad,3000000000.0,100000.0,65.0
199,3,True,True,True,Pirouzi,3968000000.0,132266.67,124.0
200,2,True,True,True,Republic,1909000000.0,63633.33,83.0
201,4,True,True,True,Farmanieh,37800000000.0,1260000.0,270.0
202,2,True,True,True,East Ferdows Boulevard,5700000000.0,190000.0,104.0
203,3,True,True,True,Zaferanieh,10490000000.0,349666.67,150.0
204,3,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67,103.0
205,1,True,True,True,West Ferdows Boulevard,1920000000.0,64000.0,48.0
206,3,True,True,True,Gheitarieh,12300000000.0,410000.0,165.0
207,2,True,True,False,Gheitarieh,7400000000.0,246666.67,135.0
208,2,True,True,True,Saadat Abad,6200000000.0,206666.67,86.0
209,2,True,True,True,East Ferdows Boulevard,2350000000.0,78333.33,75.0
210,1,True,True,True,East Ferdows Boulevard,1850000000.0,61666.67,58.0
211,2,True,True,True,Shahrake Gharb,21500000000.0,716666.67,125.0
212,2,True,True,True,Qazvin Imamzadeh Hassan,1886000000.0,62866.67,82.0
213,2,True,True,True,Shahran,2200000000.0,73333.33,58.0
214,2,True,True,True,Beryanak,2323000000.0,77433.33,101.0
215,2,True,True,True,Niavaran,6800000000.0,226666.67,90.0
216,3,True,True,True,Farmanieh,20700000000.0,690000.0,180.0
217,3,True,True,True,Gheitarieh,6250000000.0,208333.33,132.0
218,2,True,True,True,Valiasr,1863000000.0,62100.0,81.0
219,3,True,True,True,Pasdaran,13000000000.0,433333.33,153.0
220,3,True,True,True,Qalandari,12500000000.0,416666.67,166.0
221,3,True,True,True,Pasdaran,17000000000.0,566666.67,200.0
222,2,True,True,True,Pasdaran,8500000000.0,283333.33,113.0
223,2,True,True,True,Valiasr,2300000000.0,76666.67,100.0
224,2,True,True,True,Central Janatabad,3350000000.0,111666.67,80.0
225,2,True,True,True,Jeyhoon,2000000000.0,66666.67,76.0
226,3,True,True,True,Punak,5700000000.0,190000.0,128.0
227,3,True,True,True,Shahrake Gharb,27000000000.0,900000.0,210.0
228,2,True,True,True,Shahrake Gharb,12600000000.0,420000.0,140.0
229,2,True,True,True,Amir Bahador,1702000000.0,56733.33,74.0
230,1,True,True,True,Central Janatabad,3000000000.0,100000.0,75.0
231,2,True,True,True,Pasdaran,7500000000.0,250000.0,120.0
232,2,True,True,True,Pasdaran,7500000000.0,250000.0,120.0
233,2,True,True,True,Ekhtiarieh,5000000000.0,166666.67,85.0
234,2,True,True,True,Pardis,700000000.0,23333.33,105.0
235,3,True,True,True,Farmanieh,15600000000.0,520000.0,175.0
236,3,True,True,True,Farmanieh,15350000000.0,511666.67,170.0
237,1,True,True,True,Ekbatan,2810000000.0,93666.67,58.0
238,2,True,True,True,Parand,395000000.0,13166.67,75.0
239,3,True,True,True,Gheitarieh,15100000000.0,503333.33,160.0
240,1,True,True,True,Shahran,1850000000.0,61666.67,62.0
241,2,True,True,True,Rudhen,1450000000.0,48333.33,93.0
242,2,True,True,True,Islamshahr,715000000.0,23833.33,75.0
243,2,True,True,False,Islamshahr,1200000000.0,40000.0,86.0
244,2,True,True,True,Southern Program Organization,4260000000.0,142000.0,120.0
245,2,True,True,True,Andisheh,1500000000.0,50000.0,95.0
246,2,True,True,False,West Ferdows Boulevard,2120000000.0,70666.67,70.0
247,2,True,True,False,East Ferdows Boulevard,2000000000.0,66666.67,75.0
248,2,True,False,True,Pardis,590000000.0,19666.67,81.0
249,1,True,True,False,West Ferdows Boulevard,1930000000.0,64333.33,65.0
250,2,True,True,True,East Ferdows Boulevard,2730000000.0,91000.0,75.0
251,2,True,True,False,East Ferdows Boulevard,3150000000.0,105000.0,106.0
252,2,True,True,True,East Ferdows Boulevard,4600000000.0,153333.33,115.0
253,2,True,True,True,Shahr-e-Ziba,3000000000.0,100000.0,100.0
254,2,True,True,True,East Ferdows Boulevard,4500000000.0,150000.0,118.0
255,2,True,True,True,East Ferdows Boulevard,5100000000.0,170000.0,116.0
256,2,True,True,True,Shahr-e-Ziba,2200000000.0,73333.33,76.0
257,2,True,True,False,East Ferdows Boulevard,2300000000.0,76666.67,74.0
258,2,True,True,True,Saadat Abad,4500000000.0,150000.0,96.0
259,2,True,True,True,Pardis,625000000.0,20833.33,87.0
260,1,True,True,False,Northern Janatabad,1620000000.0,54000.0,43.0
261,3,True,True,True,Niavaran,17050000000.0,568333.33,155.0
262,1,True,True,True,East Ferdows Boulevard,1920000000.0,64000.0,53.0
263,3,True,True,True,Farmanieh,17600000000.0,586666.67,160.0
264,2,True,True,True,Shahr-e-Ziba,2250000000.0,75000.0,78.0
265,3,True,True,True,Niavaran,25300000000.0,843333.33,230.0
266,1,True,True,True,West Ferdows Boulevard,1850000000.0,61666.67,55.0
267,2,True,True,False,Saadat Abad,11700000000.0,390000.0,120.0
268,2,True,True,True,Southern Janatabad,3600000000.0,120000.0,78.0
269,2,True,True,True,Southern Janatabad,4400000000.0,146666.67,95.0
270,3,True,True,True,Gheitarieh,15400000000.0,513333.33,170.0
271,3,True,True,True,Shahrake Gharb,22750000000.0,758333.33,175.0
272,3,True,True,True,Punak,4500000000.0,150000.0,115.0
273,2,True,True,True,Punak,4300000000.0,143333.33,113.0
274,2,True,True,True,Punak,3380000000.0,112666.67,85.0
275,3,True,True,True,Saadat Abad,10000000000.0,333333.33,140.0
276,2,True,True,True,Saadat Abad,6500000000.0,216666.67,90.0
277,1,True,False,False,Punak,2200000000.0,73333.33,63.0
278,2,True,True,True,Central Janatabad,3220000000.0,107333.33,75.0
279,3,True,True,True,Punak,6240000000.0,208000.0,130.0
280,2,True,True,True,Punak,3350000000.0,111666.67,91.0
281,3,True,True,True,Persian Gulf Martyrs Lake,3650000000.0,121666.67,121.0
282,3,True,True,True,Saadat Abad,15500000000.0,516666.67,140.0
283,2,True,True,True,East Ferdows Boulevard,5500000000.0,183333.33,126.0
284,2,True,True,False,Absard,4200000000.0,140000.0,450.0
285,2,True,True,False,Absard,3900000000.0,130000.0,500.0
286,1,True,True,True,Pasdaran,6600000000.0,220000.0,110.0
287,3,True,True,True,Haft Tir,4700000000.0,156666.67,145.0
288,2,True,True,True,Shahrake Qods,810000000.0,27000.0,81.0
289,2,True,True,True,Shahr-e-Ziba,2200000000.0,73333.33,64.0
290,2,True,True,True,Shahr-e-Ziba,3680000000.0,122666.67,112.0
291,3,True,True,True,Marzdaran,12670000000.0,422333.33,192.0
292,3,True,True,True,Marzdaran,10000000000.0,333333.33,164.0
293,3,True,True,True,Pasdaran,8100000000.0,270000.0,135.0
294,3,True,True,True,Mahallati,9200000000.0,306666.67,170.0
295,3,True,True,True,Mahallati,5200000000.0,173333.33,130.0
296,2,True,True,True,Shahran,3400000000.0,113333.33,84.0
297,2,True,True,True,Shahran,3550000000.0,118333.33,82.0
298,3,True,True,True,Farmanieh,20000000000.0,666666.67,265.0
299,1,True,True,True,Southern Janatabad,1950000000.0,65000.0,60.0
300,3,True,True,True,Pasdaran,15500000000.0,516666.67,145.0
301,1,False,True,True,Southern Janatabad,2000000000.0,66666.67,65.0
302,1,True,True,False,Southern Janatabad,2280000000.0,76000.0,60.0
303,2,True,True,True,Southern Janatabad,2000000000.0,66666.67,63.0
304,2,True,True,True,Southern Janatabad,1950000000.0,65000.0,70.0
305,2,True,True,True,Feiz Garden,3900000000.0,130000.0,92.0
306,2,True,True,True,Pasdaran,7800000000.0,260000.0,98.0
307,1,True,True,True,Southern Janatabad,2280000000.0,76000.0,62.0
308,1,True,True,True,Punak,2900000000.0,96666.67,65.0
309,2,True,True,True,Ozgol,5000000000.0,166666.67,90.0
310,2,True,True,True,Southern Janatabad,1900000000.0,63333.33,59.0
311,2,True,True,True,Southern Janatabad,2000000000.0,66666.67,63.0
312,2,True,True,True,Southern Janatabad,2200000000.0,73333.33,60.0
313,2,True,True,True,Southern Janatabad,2500000000.0,83333.33,70.0
314,1,True,True,True,Southern Janatabad,2200000000.0,73333.33,60.0
315,3,True,True,True,Pasdaran,10500000000.0,350000.0,165.0
316,2,True,True,True,Zaferanieh,17500000000.0,583333.33,135.0
317,1,True,True,True,Southern Janatabad,2000000000.0,66666.67,65.0
318,1,True,True,True,Southern Janatabad,2250000000.0,75000.0,60.0
319,1,True,True,True,Southern Janatabad,2250000000.0,75000.0,60.0
320,2,True,True,True,Southern Janatabad,3600000000.0,120000.0,86.0
321,2,True,True,True,Heravi,6000000000.0,200000.0,109.0
322,2,True,True,False,Narmak,2842000000.0,94733.33,98.0
323,2,True,True,True,Central Janatabad,3120000000.0,104000.0,80.0
324,3,True,True,True,Gheitarieh,8860000000.0,295333.33,143.0
325,2,True,True,True,Saadat Abad,4550000000.0,151666.67,95.0
326,2,True,True,True,Punak,3700000000.0,123333.33,86.0
327,3,True,True,True,Gheitarieh,10000000000.0,333333.33,160.0
328,3,True,True,True,Pasdaran,16580000000.0,552666.67,200.0
329,1,True,True,True,Punak,3250000000.0,108333.33,74.0
330,3,True,True,True,Zaferanieh,52500000000.0,1750000.0,350.0
331,2,True,True,True,Northern Janatabad,3550000000.0,118333.33,87.0
332,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0,82.0
333,1,True,True,True,Shahr-e-Ziba,2490000000.0,83000.0,55.0
334,3,True,True,True,Ekhtiarieh,8400000000.0,280000.0,148.0
335,1,True,False,True,Shahr-e-Ziba,2020000000.0,67333.33,55.0
336,2,True,True,False,Southern Janatabad,3800000000.0,126666.67,100.0
337,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67,55.0
338,3,True,True,True,Central Janatabad,5300000000.0,176666.67,130.0
339,4,True,True,True,Saadat Abad,33500000000.0,1116666.67,335.0
340,4,True,True,True,Saadat Abad,40000000000.0,1333333.33,320.0
341,3,True,True,True,Saadat Abad,19500000000.0,650000.0,192.0
342,2,True,True,True,Gheitarieh,8000000000.0,266666.67,100.0
343,3,True,True,True,Saadat Abad,14800000000.0,493333.33,148.0
344,2,True,True,True,Shahrake Gharb,14700000000.0,490000.0,145.0
345,4,True,True,True,Saadat Abad,22000000000.0,733333.33,192.0
346,3,True,True,True,North Program Organization,16450000000.0,548333.33,235.0
347,3,True,True,True,Heravi,15750000000.0,525000.0,225.0
348,4,True,True,True,Saadat Abad,25000000000.0,833333.33,221.0
349,4,True,True,True,Farmanieh,45000000000.0,1500000.0,312.0
350,3,True,True,True,Ozgol,17672000000.0,589066.67,188.0
351,2,True,True,True,Farmanieh,12400000000.0,413333.33,170.0
352,3,True,True,True,Farmanieh,27720000000.0,924000.0,198.0
353,2,True,True,True,North Program Organization,3100000000.0,103333.33,80.0
354,3,True,True,True,Niavaran,18700000000.0,623333.33,170.0
355,2,True,True,True,Tajrish,6600000000.0,220000.0,110.0
356,2,True,True,False,Absard,5200000000.0,173333.33,650.0
357,3,True,True,True,Saadat Abad,12000000000.0,400000.0,200.0
358,3,True,True,True,Ekhtiarieh,6500000000.0,216666.67,101.0
359,2,True,True,True,Feiz Garden,3850000000.0,128333.33,104.0
360,2,True,True,True,Northern Janatabad,3200000000.0,106666.67,70.0
361,2,True,True,False,Shahr-e-Ziba,2570000000.0,85666.67,76.0
362,2,True,True,True,Feiz Garden,4300000000.0,143333.33,110.0
363,2,True,True,True,Pasdaran,16200000000.0,540000.0,160.0
364,3,True,True,True,Dorous,13800000000.0,460000.0,179.0
365,3,True,True,True,Dorous,18500000000.0,616666.67,256.0
366,2,True,True,True,Feiz Garden,3850000000.0,128333.33,90.0
367,2,True,True,True,Shahr-e-Ziba,2570000000.0,85666.67,77.0
368,2,True,True,True,Pasdaran,5600000000.0,186666.67,96.0
369,1,True,True,True,Central Janatabad,3250000000.0,108333.33,75.0
370,2,True,True,True,Abazar,3000000000.0,100000.0,79.0
371,1,True,True,True,Saadat Abad,3400000000.0,113333.33,67.0
372,2,True,True,True,Shahr-e-Ziba,6400000000.0,213333.33,125.0
373,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
374,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
375,2,True,True,True,Saadat Abad,5400000000.0,180000.0,91.0
376,2,True,True,True,Parand,1417500000.0,47250.0,105.0
377,2,True,True,True,Ostad Moein,1585000000.0,52833.33,66.0
378,2,True,True,True,Southern Janatabad,3270000000.0,109000.0,86.0
379,2,True,True,False,Northern Janatabad,2380000000.0,79333.33,72.0
380,2,True,False,True,Koohsar,4500000000.0,150000.0,148.0
381,2,True,True,True,Saadat Abad,4600000000.0,153333.33,84.0
382,2,True,True,True,Niavaran,12800000000.0,426666.67,128.0
383,1,True,True,True,West Ferdows Boulevard,3900000000.0,130000.0,65.0
384,3,True,True,True,Pasdaran,11800000000.0,393333.33,140.0
385,2,True,True,True,Ekhtiarieh,7400000000.0,246666.67,115.0
386,2,True,True,True,Saadat Abad,5700000000.0,190000.0,105.0
387,2,True,True,True,Pardis,650000000.0,21666.67,87.0
388,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
389,1,True,True,True,Persian Gulf Martyrs Lake,875000000.0,29166.67,60.0
390,1,True,True,True,Southern Program Organization,2630000000.0,87666.67,68.0
391,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33,49.0
392,2,True,True,True,Hekmat,9270000000.0,309000.0,103.0
393,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33,55.0
394,3,True,True,True,Punak,7700000000.0,256666.67,140.0
395,4,True,True,True,Persian Gulf Martyrs Lake,12850000000.0,428333.33,257.0
396,2,True,True,True,Punak,4018000000.0,133933.33,82.0
397,3,True,True,True,Punak,10688000000.0,356266.67,167.0
398,1,False,True,False,West Ferdows Boulevard,1640000000.0,54666.67,53.0
399,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67,51.0
400,1,True,True,False,West Ferdows Boulevard,2130000000.0,71000.0,54.0
401,2,True,True,True,Sattarkhan,4100000000.0,136666.67,82.0
402,2,True,True,True,West Ferdows Boulevard,2800000000.0,93333.33,75.0
403,2,True,True,True,West Ferdows Boulevard,4520000000.0,150666.67,98.0
404,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
405,1,True,True,True,Niavaran,5600000000.0,186666.67,70.0
406,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
407,1,True,True,True,Ekbatan,3700000000.0,123333.33,64.0
408,2,True,True,True,Jeyhoon,2100000000.0,70000.0,85.0
409,1,False,True,False,Parastar,980000000.0,32666.67,48.0
410,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0,75.0
411,3,True,True,True,Ekhtiarieh,22500000000.0,750000.0,246.0
412,3,True,True,True,Gheitarieh,14000000000.0,466666.67,168.0
413,4,True,True,True,Saadat Abad,38500000000.0,1283333.33,280.0
